sub,meta_entropy
1120001,2.9551525076809333
1120002,2.924345144948841
1120003,2.8532314904483447
1120004,2.8899902282837178
1120005,2.888399168127304
1120006,2.838854922358887
1120008,2.9585322050311893
1120010,2.8079615512979816
1120011,2.8127222709810504
1120012,2.90581795470833
1120013,2.985111750002873
1120014,2.781556541094816
1120015,2.8364005084769266
1120017,2.8739805372241194
1120018,2.938770765225236
1120019,2.9252325666843846
1120020,2.808924343332588
1120021,2.762810905744116
1120023,2.843231211123204
1120024,2.826861805830851
1120025,2.9803994254961985
1120026,2.7644749514286224
1120027,2.813872414498757
1120028,2.925066792167303
1120029,2.957637036934332
1120030,2.569880040283135
1120031,2.86903402710893
1120032,2.8596730505396764
1120033,2.920689188029756
1120034,2.955703971748495
1120035,2.80520522498298
1120036,2.8374004621267126
1120039,2.929783602016616
1120040,2.963662326828364
1120041,2.8859050809695432
1120042,2.652783344070877
1120043,2.7730029777724794
1120044,2.9723413167411694
1120045,2.968929937814408
1120047,2.849335800152692
1120050,2.7501867512427154
1120052,2.941830282713372
1120053,2.9877625483652475
1120054,2.959893293457841
1120055,2.950741299942778
1120057,2.5904947226962287
1120058,2.8432882228875327
1120061,2.850990701296749
1120062,2.8851147111010427
1120063,2.795848463608805
1120065,2.9164141083475843
1120068,2.9217150897274946
1120069,2.645396567795634
1120070,2.9116727560864546
1120073,2.9426566872342947
1120075,2.226107315900878
1120076,2.947961751567768
1120077,2.876841568376781
1120078,2.984711213961025
1120079,2.873028870201788
1120080,2.8127330617717408
1120081,2.871192650563544
1120082,2.932979453484587
1120083,2.7630943686774594
1120084,2.8575695021712426
22450,2.797356642856003
22557,2.967971533785175
22167,2.9057597440928147
22219,2.939360729856092
22314,2.9210205288717974
22122,2.9565284866647747
22103,2.9900387894784064
22307,2.9168933442554095
22277,2.668396648253281
22501,2.949725948102597
22131,2.62058730992586
22041,2.9412152895537953
22406,2.7996360689959072
22608,2.9566987884600393
22332,2.96407442832351
22242,2.953379525992465
22009,2.7876029716629556
22197,2.849625290440816
22568,2.8127206429338707
22125,2.8876845639251587
22287,2.926408786975034
22550,2.80281160107486
22117,2.5542962289597653
22554,2.496673094921823
22874,2.9163400400289996
22762,2.8100431082824646
22156,2.5874995059299346
22121,2.923338271570488
22397,2.9240600470597893
22199,2.94120385377717
22100,2.956048938717159
22042,2.8103443663112544
22145,2.9829923152406197
22148,2.9154134311521704
22572,2.8675067752864467
22241,2.828109366959575
22798,2.9049697913019363
22273,2.8517520634643563
22056,2.847496371280389
22488,2.9757599113230837
22328,2.974354404878191
22553,2.9427537656265845
22064,2.934065856994562
22480,2.733035600522866
22563,2.955759010448839
22185,2.8446727545546056
22774,2.824438066801038
22594,2.8320290721369763
22137,2.692725513355695
22206,2.921612218659737
22295,2.8803407944674166
22002,2.908677752746182
22105,2.8719639865146966
22102,2.7767324144668604
22175,2.8774856921754335
22201,2.868501704765467
22470,2.682663917828265
22085,2.831691884168129
22521,2.884380710387428
22801,2.972679326294944
22218,2.9467407045440015
22129,2.9778214360812414
22053,2.8253005459226226
22580,2.8619732405627514
22584,2.6200449042338856
22020,2.947534398753615
22057,2.9135703630267566
22127,2.46309861129675
22224,2.861558718161519
22780,2.172497161722298
22259,2.779994163600397
22065,2.397563051523969
22186,2.8962487607239
22422,2.911009372335237
22388,2.893434957911606
22143,2.870391051269011
22149,2.9235769957651554
22579,2.875102997902127
22859,2.9911247816021618
22106,2.9734479816560047
22861,2.838032187827605
22648,2.834073451144275
22745,2.7292224276156203
22302,2.9426242913294143
22095,2.9597215370663643
22770,2.985423450422187
22385,2.9175830832256406
22211,2.7643540574139616
22316,2.7077772941954628
22118,2.93261998819377
22452,2.8430891775522595
22112,2.851743955208753
22353,2.8987848302374153
22417,2.8188215940715264
22120,2.9794825416532147
22629,2.9601719977428385
22221,2.948431344327247
22813,2.863754430216122
22826,2.8522917205528873
22637,2.6035090795840103
22616,2.9269021404120847
22842,2.735239844671792
22653,2.908256526860993
22846,2.8817185886738828
22643,2.840803782936513
22739,2.776076451401647
22841,2.9258996606589918
22718,2.90050699160685
22646,2.788441758954691
22820,2.7298575067793167
22603,2.9198000305706837
22609,2.965845057936237
22833,2.92322631230551
22717,2.8619401825491417
22700,2.840907919303381
22738,2.9335783398125224
22742,2.9613376404195053
22638,2.872451107653361
22707,2.893766985321247
22823,2.8851045456902784
22808,2.8537032623712753
22583,2.5569975251076635
22743,2.605890455687377
22525,2.564497064711768
3311,2.837812988840688
3498,2.967556224465324
3566,2.9707626199952366
3207,2.915956424882988
3560,2.9923343680304693
3565,2.8524574896392947
3068,2.9485985528836496
3200,2.855880826123093
3599,2.971658221790875
3598,2.8820113211770733
3600,2.9566729076235765
3601,2.9551244726119013
3605,2.958268944395976
3607,2.7879160294750664
3608,2.97797485508808
3625,2.7653668813384424
3616,2.819912868676548
3621,2.802551645917984
3628,2.92364953035952
3629,2.762057606746136
3634,2.768557966115843
3659,2.9705247100658045
3649,2.841405906119076
3656,2.951489261054723
3669,2.9146179201027658
3671,2.973774438131745
3655,2.963732281351225
3666,2.9596811970111667
3658,2.897308448256388
3667,2.923422622599656
3670,2.4133257000514163
3675,2.93436368911651
3677,2.908987604717292
3674,2.8943169397273136
3676,2.939339109035735
3678,2.884752981620077
3684,2.4404053809103794
3687,2.614404061129327
3695,2.868651286333891
3713,2.802076979739616
3500,2.8036773364573246
3058,2.902019068927561
3182,2.963914704603944
3503,2.9634034174109187
3045,2.826174882705804
3505,2.8990295914487283
3508,2.9083945816413195
3522,2.9253458493975595
3507,2.9047517133902465
3644,2.2934704849770027
3157,2.963420407078672
3217,2.9741999624352955
3234,2.8949842219073583
3519,2.473254206854498
3201,2.86786071075647
3525,2.966489397048253
3526,2.907791959380656
3527,2.860661465574766
3087,2.9785236220732703
3538,2.847024820173903
3553,2.8647069586078087
3537,2.7664204924406106
3534,2.905455066797885
3044,2.974937921437379
3540,2.944843131572662
3549,2.9338343472521777
3542,2.931089893616315
3541,2.8699604766670443
3092,2.9299373491393763
3547,2.9343451983107034
3552,2.8853727264727187
